Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym
N,H,Doellingeria umbellata var. pubens,flat-topped aster,,Aster pubentior
N,H,Doellingeria umbellata var. umbellata,flat-topped aster,,Aster umbellatus
N,H,Draba arabisans,Arabian whitlow grass,,Draba arabisans
N,H,Draba cana,hoary whitlow grass,,Draba cana
N,H,Draba nemorosa,yellow whitlow grass,,Draba nemorosa
N,H,Draba norvegica,Norwegian whitlow grass,,Draba norvegica
N,H,Draba reptans,Carolina whitlow grass,,Draba reptans var. reptans
I,H,Draba verna,,,Draba verna
N,H,Dracocephalum parviflorum,dragonhead,,Dracocephalum parviflorum
N,H,Drosera anglica,English sundew,,Drosera anglica
N,H,Drosera intermedia,spatulate-leaved sundew,,Drosera intermedia
N,H,Drosera linearis,linear-leaved sundew,,Drosera linearis
N,H,Drosera rotundifolia,round-leaved sundew,,Drosera rotundifolia
N,H,Drosera xobovata,obovate-leaved sundew,,Drosera xobovata
N,H,Drymocallis arguta,tall cinquefoil,,"Potentilla arguta, Potentilla arguta subsp. arguta"
N,H,Dryopteris carthusiana,spinulose wood fern,,Dryopteris carthusiana
N,H,Dryopteris cristata,crested wood fern,,Dryopteris cristata
N,H,Dryopteris expansa,spreading wood fern,,Dryopteris expansa
N,H,Dryopteris filix-mas,male fern,,Dryopteris filix-mas
N,H,Dryopteris fragrans,fragrant wood fern,,Dryopteris fragrans
N,H,Dryopteris goldieana,Goldie’s woodfern,,Dryopteris goldiana
N,H,Dryopteris intermedia,evergreen wood fern,,Dryopteris intermedia
N,H,Dryopteris marginalis,marginal wood fern,,Dryopteris marginalis
N,H,Dryopteris xboottii,Boott's shield fern,,Dryopteris xboottii
N,H,Dryopteris xtriploidea,triploid shield fern,,Dryopteris xtriploidea
N,H,Dryopteris xuliginosa,swamp shield fern,,Dryopteris xuliginosa
I,H,Duchesnea indica var. indica,Indian-strawberry,,
N,G,Dulichium arundinaceum var. arundinaceum,three-way sedge,,Dulichium arundinaceum
I,H,Dysphania botrys,Jerusalem oak,,Chenopodium botrys
N,H,Dyssodia papposa,fetid marigold,,Dyssodia papposa
N,H,Echinacea angustifolia,narrow-leaved purple coneflower,,Echinacea pallida var. angustifolia
I,G,Echinochloa crus-galli,cockspur barnyard grass,,"Echinochloa crusgalli, Echinochloa crusgalli var. crusgalli"
N,G,Echinochloa muricata,rough barnyard grass,,Echinochloa muricata
N,G,Echinochloa muricata var. microstachya,rough barnyard grass,,Echinochloa muricata var. microstachya
N,G,Echinochloa muricata var. muricata,rough barnyard grass,,Echinochloa muricata var. muricata
N,G,Echinochloa walteri,Walter's barnyard grass,,Echinochloa walteri
N,H,Echinocystis lobata,wild cucumber,,Echinocystis lobata
N,H,Echinodorus berteroi,tall bur-head,,
I,H,Echinops sphaerocephalus,great globethistle,,Echinops sphaerocephalus
I,H,Echium vulgare,blue weed,,Echium vulgare
N,H,Eclipta prostrata,yerba de tajo,,Eclipta prostrata
I,D,Elaeagnus angustifolia,Russian olive,,Elaeagnus angustifolia
N,D,Elaeagnus commutata,silverberry,,Elaeagnus commutata
I,D,Elaeagnus umbellata,autumn olive,,Elaeagnus umbellata
N,"H,S",Elatine americana,American waterwort,,
N,"H,S",Elatine brachysperma,short-seed waterwort,,
N,"H,S",Elatine minima,small waterwort,,Elatine minima
I,"H,S",Elatine triandra,three-stamened waterwort,,Elatine triandra
N,G,Eleocharis acicularis,least spikerush,,Eleocharis acicularis
N,G,Eleocharis coloradoensis,dwarf spikerush,,Eleocharis parvula var. anachaeta
N,G,Eleocharis compressa,flattened spikerush,,Eleocharis compressa
N,G,Eleocharis compressa var. acutisquamata,flattened spikerush,,Eleocharis compressa
N,G,Eleocharis compressa var. compressa,flattened spikerush,,Eleocharis compressa
N,G,Eleocharis elliptica,elliptic spikerush,,Eleocharis tenuis var. borealis
N,G,Eleocharis engelmannii,Engelmann's spikerush,,Eleocharis ovata s.l.
N,G,Eleocharis erythropoda,bald spikerush,,Eleocharis palustris s.l.
N,G,Eleocharis flavescens var. olivacea,olivaceous spikerush,,Eleocharis flavescens var. olivacea
N,G,Eleocharis intermedia,intermediate spikerush,,Eleocharis intermedia
N,G,Eleocharis macrostachya,large-spike spikerush,,Eleocharis palustris s.l.
N,G,Eleocharis mamillata var. mamillata,soft-stem spikerush,,
N,G,Eleocharis nitida,neat spikerush,,
N,G,Eleocharis obtusa,blunt spikerush,,Eleocharis ovata s.l.
N,G,Eleocharis ovata,ovoid spikerush,,Eleocharis ovata s.l.
N,G,Eleocharis palustris,marsh spikerush,,Eleocharis palustris s.l.
N,G,Eleocharis quinqueflora,few-flowered spikerush,,Eleocharis pauciflora
N,G,Eleocharis robbinsii,Robbins' spikerush,,Eleocharis robbinsii
N,G,Eleocharis rostellata,beaked spikerush,,Eleocharis rostellata
N,G,Eleocharis wolfii,Wolf's spikerush,,Eleocharis wolfii
N,H,Ellisia nyctelea,ellisia,,Ellisia nyctelea
N,"H,S",Elodea bifoliata,two leaf waterweed,,
N,"H,S",Elodea canadensis,Canadian elodea,,Elodea canadensis
N,"H,S",Elodea nuttallii,Nuttall's elodea,,Elodea nuttallii
N,G,Elymus canadensis var. canadensis,Canada wildrye,,Elymus canadensis
N,G,Elymus curvatus,awnless wild rye,,Elymus curvatus
N,G,Elymus diversiglumis,interrupted wild rye,,Elymus diversiglumis
N,G,Elymus hystrix,bottlebrush grass,Hystix patula,Elymus hystrix
I,G,Elymus repens,quackgrass,,Elytrigia repens
N,G,Elymus riparius,riverbank wildrye,,
N,G,Elymus trachycaulus,slender wheatgrass,,Elymus trachycaulus
N,G,Elymus trachycaulus subsp. subsecundus,one-sided wheatgrass,,Elymus trachycaulus
N,G,Elymus trachycaulus subsp. trachycaulus,slender wheatgrass,,Elymus trachycaulus
N,G,Elymus villosus,downy wild rye,,Elymus villosus
N,G,Elymus virginicus,Virginia wildrye,,Elymus virginicus
N,G,Elymus virginicus var. jejunus,Virginia wildrye,,Elymus virginicus
N,G,Elymus virginicus var. virginicus,Virginia wild rye,,Elymus virginicus
N,G,Elymus wiegandii,Weigand's wild rye,,Elymus wiegandii
N,B,Empetrum atropurpureum,purple crowberry,,Empetrum rubrum var. atropurpureum
N,B,Empetrum nigrum,black crowberry,,Empetrum nigrum var. hermaphroditum
N,H,Enemion biternatum,false rue anemone,,Isopyrum biternatum
N,B,Epigaea repens,trailing arbutus,,Epigaea repens
N,H,Epilobium ciliatum,American willow herb,,Epilobium ciliatum s.s.
N,H,Epilobium ciliatum subsp. ciliatum,American willow herb,,Epilobium ciliatum var. ciliatum
N,H,Epilobium ciliatum subsp. glandulosum,northern willow herb,,Epilobium glandulosum
N,H,Epilobium coloratum,purple-leaved willow herb,,Epilobium coloratum
N,H,Epilobium densum,downy willow herb,,Epilobium strictum
N,H,Epilobium leptophyllum,linear-leaved willow herb,,Epilobium leptophyllum
N,H,Epilobium palustre,marsh willow herb,,Epilobium palustre
N,H,Epilobium xwisconsinense,Wisconsin willow herb,,Epilobium xwisconsinense
I,H,Epipactis helleborine,broad-leaved helleborine,,Epipactis helleborine
N,H,Equisetum arvense,field horsetail,,Equisetum arvense
N,H,Equisetum fluviatile,water horsetail,,Equisetum fluviatile
N,H,Equisetum laevigatum,smooth scouring rush,,Equisetum laevigatum
N,H,Equisetum palustre,marsh horsetail,,Equisetum palustre
N,H,Equisetum praealtum,common scouring rush,,Equisetum hyemale var. affine
N,H,Equisetum pratense,meadow horsetail,,Equisetum pratense
N,H,Equisetum scirpoides,dwarf scouring rush,,Equisetum scirpoides
N,H,Equisetum sylvaticum,woodland horsetail,,Equisetum sylvaticum
N,H,Equisetum variegatum subsp. variegatum,variegated scouring rush,,Equisetum variegatum
N,H,Equisetum xferrissii,Ferriss' scouring rush,,Equisetum xferrissii
N,H,Equisetum xjesupii,Mack's horsetail,,Equisetum xtrachyodon
N,H,Equisetum xlitorale,shallow-water horsetail,,Equisetum xlitorale
N,H,Equisetum xmildeanum,,,
N,H,Equisetum xnelsonii,Nelson's scouring rush,,Equisetum xnelsonii
I,G,Eragrostis cilianensis,stink grass,,Eragrostis cilianensis
N,G,Eragrostis frankii,Frank's lovegrass,,Eragrostis frankii
N,G,Eragrostis hypnoides,creeping lovegrass,,Eragrostis hypnoides
I,G,Eragrostis minor,little lovegrass,,Eragrostis minor
N,G,Eragrostis pectinacea var. pectinacea,tufted lovegrass,,Eragrostis pectinacea
I,G,Eragrostis pilosa,Indian lovegrass,,Eragrostis pilosa
I,G,Eragrostis pilosa var. perplexa,Indian lovegrass,,Eragrostis pilosa var. perplexa
I,G,Eragrostis pilosa var. pilosa,Indian lovegrass,,Eragrostis pilosa var. pilosa
N,G,Eragrostis spectabilis,purple lovegrass,,Eragrostis spectabilis
N,G,Eragrostis trichodes,sand lovegrass,,Eragrostis trichodes
N,H,Erechtites hieraciifolius var. hieraciifolius,pilewort,,Erechtites hieraciifolia var. hieraciifolia
N,H,Erigeron acris var. kamtschaticus,bitter fleabane,,Erigeron acris var. kamtschaticus
N,H,Erigeron annuus,annual fleabane,,Erigeron annuus
N,H,Erigeron glabellus var. pubescens,smooth fleabane,,Erigeron glabellus var. pubescens
N,H,Erigeron lonchophyllus,short ray fleabane,,
N,H,Erigeron philadelphicus var. philadelphicus,Philadelphia fleabane,,Erigeron philadelphicus
N,H,Erigeron pulchellus,poor robin's fleabane,,Erigeron pulchellus
N,H,Erigeron pulchellus var. pulchellus,poor robin's fleabane,,Erigeron pulchellus var. pulchellus
N,H,Erigeron pulchellus var. tolsteadii,Tolstead's Erigeron,,Erigeron pulchellus var. tolsteadii
N,H,Erigeron strigosus,daisy fleabane,,Erigeron strigosus
N,H,Erigeron strigosus var. septentrionalis,daisy fleabane,,Erigeron strigosus var. septentrionalis
N,H,Erigeron strigosus var. strigosus,daisy fleabane,,"Erigeron strigosus var. beyrichii, Erigeron strigosus var. strigosus"
N,"H,S",Eriocaulon aquaticum,pipewort,,Eriocaulon aquaticum
I,G,Eriochloa villosa,hairy cupgrass,,Eriochloa villosa
N,G,Eriophorum angustifolium subsp. angustifolium,tall cottongrass,,Eriophorum polystachion
N,G,Eriophorum gracile,slender cottongrass,,Eriophorum gracile
N,G,Eriophorum russeolum subsp. leiocarpum,Chamisso's cottongrass,,Eriophorum chamissonis
N,G,Eriophorum tenellum,delicate cottongrass,,Eriophorum tenellum
N,G,Eriophorum vaginatum,tussock cottongrass,,Eriophorum vaginatum var. spissum
N,G,Eriophorum virginicum,tawny cottongrass,,Eriophorum virginicum
N,G,Eriophorum viridicarinatum,green-keeled cottongrass,,Eriophorum viridicarinatum
I,H,Erodium cicutarium,redstem filaree,,Erodium cicutarium
I,H,Erucastrum gallicum,dog mustard,,Erucastrum gallicum
N,H,Eryngium yuccifolium var. yuccifolium,rattlesnake master,,Eryngium yuccifolium
N,H,Erysimum asperum,western wallflower,,Erysimum asperum
I,H,Erysimum cheiranthoides,wormseed mustard,,Erysimum cheiranthoides
N,H,Erysimum inconspicuum,small-flowered wallflower,,Erysimum inconspicuum
N,H,Erythranthe geyeri,yellow monkey flower,,"Mimulus glabratus, Mimulus glabratus var. fremontii"
N,H,Erythronium albidum,white trout lily,,Erythronium albidum
N,H,Erythronium albidum x propullans,trout lily,,
N,H,Erythronium americanum subsp. americanum,yellow trout lily,,Erythronium americanum
N,H,Erythronium propullans,dwarf trout lily,,Erythronium propullans
I,D,Euonymus alatus,winged burning bush,,Euonymus alatus
N,D,Euonymus atropurpureus,wahoo,,Euonymus atropurpureus
N,H,Eupatorium altissimum,tall boneset,,Eupatorium altissimum
N,H,Eupatorium perfoliatum,common boneset,,Eupatorium perfoliatum
N,H,Eupatorium sessilifolium,upland boneset,,Eupatorium sessilifolium
N,H,Euphorbia corollata,eastern flowering spurge,,"Euphorbia corollata, Euphorbia corollata var. corollata"
N,H,Euphorbia cyathophora,fire-on-the-mountain,,Euphorbia cyathophora
I,H,Euphorbia cyparissias,cypress spurge,,Euphorbia cyparissias
I,H,Euphorbia davidii,David's spurge,,
N,H,Euphorbia dentata,toothed spurge,,Euphorbia dentata
N,H,Euphorbia geyeri var. geyeri,Geyer's sandmat,,
N,H,Euphorbia glyptosperma,ribseed sandmat,,Euphorbia glyptosperma
N,H,Euphorbia hexagona,six-angled spurge,,Euphorbia hexagona
N,H,Euphorbia maculata,prostrate hairy spurge,,Euphorbia maculata
N,H,Euphorbia marginata,snow-on-the-mountain,,Euphorbia marginata
N,H,Euphorbia missurica,Missouri spurge,,"Euphorbia missurica, Euphorbia missurica var. intermedia"
N,H,Euphorbia nutans,nodding spurge,,Euphorbia nutans
N,H,Euphorbia serpillifolia subsp. serpillifolia,thyme-leaved spurge,,Euphorbia serpyllifolia
N,H,Euphorbia spathulata,warty spurge,,Euphorbia spathulata
I,H,Euphorbia virgata,leafy spurge,,Euphorbia esula
N,H,Euphrasia hudsoniana,Hudson Bay eyebright,,Euphrasia hudsoniana
N,H,Euphrasia hudsoniana var. ramosior,Hudson Bay eyebright,,Euphrasia hudsoniana var. ramosior
I,H,Euphrasia nemorosa,tartary eyebright,,Euphrasia officinalis
I,H,Euphrasia stricta var. stricta,drug eyebright,,
N,H,Eurybia macrophylla,large-leaved aster,,Aster macrophyllus
N,H,Euthamia graminifolia,grass-leaved goldenrod,,"Euthamia graminifolia, Euthamia graminifolia var. graminifolia, Euthamia graminifolia var. major"
N,H,Euthamia gymnospermoides,Great Plains goldentop,,Euthamia gymnospermoides
N,H,Eutrochium maculatum,spotted Joe pye weed,,Eupatorium maculatum
N,H,Eutrochium maculatum var. bruneri,spotted Joe pye weed,,Eupatorium maculatum subsp. bruneri
N,H,Eutrochium maculatum var. foliosum,spotted Joe pye weed,,Eupatorium maculatum var. foliosum
N,H,Eutrochium maculatum var. maculatum,spotted Joe pye weed,,Eupatorium maculatum var. maculatum
N,H,Eutrochium purpureum var. holzingeri,sweet-scented Joe pye weed,,Eupatorium purpureum var. holzingeri
I,H,Fagopyrum esculentum,buckwheat,,Fagopyrum esculentum
N,H,Fallopia cilinodis,fringed black-bindweed,,Polygonum cilinode
I,H,Fallopia convolvulus,black-bindweed,,Polygonum convolvulus
I,H,Fallopia japonica var. japonica,Japanese knotweed,,Polygonum cuspidatum
N,H,Fallopia scandens,false buckwheat,,Polygonum scandens var. scandens
I,H,Fallopia xbohemica,bohemian knotweed,,
I,G,Festuca rubra,red fescue,,Festuca rubra
I,G,Festuca rubra subsp. fallax,chewing fescue,,Festuca rubra
I,G,Festuca rubra subsp. rubra,red fescue,,Festuca rubra
N,G,Festuca saximontana var. saximontana,mountain fescue,,"Festuca brachyphylla var. rydbergii, Festuca ovina"
N,G,Festuca subverticillata,nodding fescue,,Festuca subverticillata
I,G,Festuca trachyphylla,long-leaved fescue,,Festuca trachyphylla
I,H,Filipendula ulmaria,queen-of-the-meadow,"Filipendula ulmaria, Filipendula ulmaria var. denudata, Filipendula ulmaria var. ulmaria","Filipendula ulmaria, Filipendula ulmaria var. denudata, Filipendula ulmaria var. ulmaria"
N,G,Fimbristylis autumnalis,autumn fimbry,,Fimbristylis autumnalis
N,G,Fimbristylis puberula var. interior,hairy fimbry,,Fimbristylis puberula var. interior
N,H,Floerkea proserpinacoides,false mermaid,,Floerkea proserpinacoides
N,H,Fragaria vesca subsp. americana,wood strawberry,,Fragaria vesca var. americana
N,H,Fragaria virginiana,common strawberry,,Fragaria virginiana
N,H,Fragaria virginiana subsp. glauca,common strawberry,,
N,H,Fragaria virginiana subsp. virginiana,common strawberry,,
I,D,Frangula alnus,glossy buckthorn,,Rhamnus frangula
N,D,Fraxinus americana,white ash,,Fraxinus americana
N,D,Fraxinus nigra,black ash,,Fraxinus nigra
N,D,Fraxinus pennsylvanica,green ash,,Fraxinus pennsylvanica
N,H,Froelichia floridana,prairie cottonweed,,Froelichia floridana var. campestris
N,H,Gaillardia aristata,blanketflower,,Gaillardia aristata
I,H,Gaillardia pulchella,rose-ring gaillardia,,Gaillardia pulchella
N,H,Galearis spectabilis,showy orchis,,Orchis spectabilis
I,H,Galeopsis tetrahit,hemp nettle,,Galeopsis tetrahit
I,H,Galeopsis tetrahit var. bifida,hemp nettle,,Galeopsis tetrahit var. bifida
I,H,Galeopsis tetrahit var. tetrahit,hemp nettle,,Galeopsis tetrahit var. tetrahit
I,H,Galinsoga parviflora var. parviflora,small-flowered galinsoga,,Galinsoga parviflora
I,H,Galinsoga quadriradiata,hairy galinsoga,,Galinsoga quadriradiata
N,H,Galium aparine,cleavers,,Galium aparine
N,H,Galium asprellum,rough bedstraw,,Galium asprellum
N,H,Galium boreale,northern bedstraw,,Galium boreale
N,H,Galium circaezans var. hypomalacum,licorice bedstraw,,Galium circaezans var. hypomalacum
N,H,Galium concinnum,shining bedstraw,,Galium concinnum
N,H,Galium labradoricum,labrador bedstraw,,Galium labradoricum
I,H,Galium mollugo,false baby's breath,,Galium mollugo
N,H,Galium obtusum var. obtusum,obtuse bedstraw,,Galium obtusum var. obtusum
N,H,Galium palustre,marsh bedstraw,,Galium palustre
N,H,Galium tinctorium var. tinctorium,small bedstraw,,Galium tinctorium var. tinctorium
N,H,Galium trifidum var. trifidum,three-cleft bedstraw,,Galium trifidum var. trifidum
N,H,Galium triflorum var. triflorum,sweet-scented bedstraw,,Galium triflorum var. triflorum
I,H,Galium verum,yellow bedstraw,,Galium verum
N,B,Gaultheria hispidula,creeping snowberry,,Gaultheria hispidula
N,B,Gaultheria procumbens,wintergreen,,Gaultheria procumbens
N,D,Gaylussacia baccata,black huckleberry,,Gaylussacia baccata
N,H,Gentiana affinis var. affinis,pleated gentian,,
N,H,Gentiana andrewsii,bottle gentian,,Gentiana andrewsii
N,H,Gentiana andrewsii var. andrewsii,bottle gentian,,Gentiana andrewsii var. andrewsii
N,H,Gentiana andrewsii var. dakotica,bottle gentian,,Gentiana andrewsii var. dakotica
N,H,Gentiana flavida,yellowish gentian,,Gentiana flavida
N,H,Gentiana puberulenta,downy gentian,,Gentiana puberulenta
N,H,Gentiana rubricaulis,great lakes gentian,,Gentiana rubricaulis
N,H,Gentiana xbillingtonii,Billington's gentian,,Gentiana xbillingtonii
N,H,Gentianella amarella subsp. acuta,marsh gentian,,
N,H,Gentianella quinquefolia subsp. occidentalis,stiff gentian,,Gentianella quinquefolia var. occidentalis
N,H,Gentianopsis crinita,greater fringed gentian,,Gentianopsis crinita
N,H,Gentianopsis virgata,lesser fringed gentian,,Gentianopsis procera
N,H,Gentianopsis virgata subsp. macounii,Macoun's fringed gentian,,
N,H,Gentianopsis virgata subsp. virgata,narrow-leaved fringed gentian,,Gentianopsis procera
N,H,Geocaulon lividum,northern comandra,,Geocaulon lividum
N,H,Geranium bicknellii,Bicknell's cranesbill,,Geranium bicknellii
N,H,Geranium carolinianum,Carolina cranesbill,,Geranium carolinianum
N,H,Geranium maculatum,wild geranium,,Geranium maculatum
I,H,Geranium sibiricum,Siberian cranesbill,,Geranium sibiricum
N,H,Geum aleppicum,yellow avens,,"Geum aleppicum, Geum aleppicum var. strictum"
N,H,Geum canadense,white avens,,Geum canadense
N,H,Geum laciniatum,rough avens,,Geum laciniatum
N,H,Geum macrophyllum var. perincisum,big-leaved avens,,Geum macrophyllum var. perincisum
N,H,Geum rivale,purple avens,,Geum rivale
N,H,Geum triflorum var. triflorum,prairie smoke,,
N,H,Geum vernum,spring avens,,
I,H,Glechoma hederacea,creeping charlie,,Glechoma hederacea
N,D,Gleditsia triacanthos,honey locust,,Gleditsia triacanthos
N,G,Glyceria borealis,northern manna grass,,Glyceria borealis
N,G,Glyceria canadensis var. canadensis,rattlesnake grass,,Glyceria canadensis
N,G,Glyceria grandis var. grandis,tall manna grass,,Glyceria grandis
I,G,Glyceria maxima,tall glyceria,,
N,G,Glyceria striata,fowl manna grass,,"Glyceria striata, Glyceria striata var. striata, Glyceria striata var. stricta"
N,H,Glycyrrhiza lepidota,wild licorice,,Glycyrrhiza lepidota
I,H,Gnaphalium uliginosum,low cudweed,,Gnaphalium uliginosum
N,H,Goodyera pubescens,downy rattlesnake plantain,,Goodyera pubescens
N,H,Goodyera repens,lesser rattlesnake plantain,,Goodyera repens var. ophioides
N,H,Goodyera tesselata,tesselated rattlesnake plantain,,Goodyera tesselata
N,H,Gratiola neglecta,clammy hedgehyssop,,Gratiola neglecta
N,H,Grindelia hirsutula,hairy gumweed,,Grindelia squarrosa var. quasiperennis
N,H,Grindelia squarrosa,curly cup gumweed,,"Grindelia squarrosa, Grindelia squarrosa var. serrulata, Grindelia squarrosa var. squarrosa"
N,H,Gymnocarpium continentale,Nahanni oak fern,,
N,H,Gymnocarpium dryopteris,western oak fern,,Gymnocarpium dryopteris
N,H,Gymnocarpium robertianum,scented oak fern,,Gymnocarpium robertianum s.l.
N,H,Gymnocarpium xbrittonianum,Britton's oak fern,,
N,H,Gymnocarpium xintermedium,intermediate oak fern,,
N,D,Gymnocladus dioicus,Kentucky coffee tree,,Gymnocladus dioica
I,H,Gypsophila muralis,low baby’s-breath,,Gypsophila muralis
I,H,Gypsophila paniculata,common baby’s-breath,,Gypsophila paniculata
N,H,Hackelia deflexa var. americana,nodding stickseed,,Hackelia deflexa var. americana
N,H,Hackelia virginiana,Virginia stickseed,,Hackelia virginiana
N,H,Halenia deflexa,northern spurred gentian,,"Halenia deflexa, Halenia deflexa var. deflexa"
N,D,Hamamelis virginiana,witch-hazel,,Hamamelis virginiana
N,H,Hasteola suaveolens,sweet-smelling Indian plantain,,Cacalia suaveolens
N,H,Hedeoma hispida,mock pennyroyal,,Hedeoma hispida
N,H,Hedeoma pulegioides,American pennyroyal,,Hedeoma pulegioides
N,H,Hedyotis longifolia,bluets,,Hedyotis longifolia
N,H,Helenium autumnale,autumn sneezeweed,,Helenium autumnale var. autumnale
N,H,Helianthus annuus,common sunflower,,Helianthus annuus
N,H,Helianthus giganteus,giant sunflower,,Helianthus giganteus s.l.
N,H,Helianthus grosseserratus,sawtooth sunflower,,Helianthus grosseserratus
N,H,Helianthus hirsutus,hairy sunflower,,Helianthus hirsutus
N,H,Helianthus maximiliani,Maximilian's sunflower,,Helianthus maximilianii
N,H,Helianthus nuttallii subsp. rydbergii,Nuttall's sunflower,,Helianthus giganteus s.l.
N,H,Helianthus occidentalis subsp. occidentalis,western sunflower,,Helianthus occidentalis var. occidentalis
N,H,Helianthus pauciflorus,stiff sunflower,,Helianthus pauciflorus
N,H,Helianthus pauciflorus subsp. pauciflorus,stiff sunflower,,Helianthus pauciflorus var. pauciflorus
N,H,Helianthus pauciflorus subsp. subrhomboideus,stiff sunflower,,Helianthus pauciflorus var. subrhomboideus
N,H,Helianthus petiolaris subsp. petiolaris,prairie sunflower,,Helianthus petiolaris
N,H,Helianthus strumosus,woodland sunflower,,Helianthus strumosus
N,H,Helianthus tuberosus,Jerusalem artichoke,,Helianthus tuberosus
N,H,Helianthus xlaetiflorus,bright sunflower,,Helianthus xlaetiflorus
N,H,Heliopsis helianthoides var. scabra,ox-eye,,Heliopsis helianthoides var. scabra
I,H,Hemerocallis fulva,orange daylily,,Hemerocallis fulva
N,H,Heracleum maximum,cow parsnip,,Heracleum lanatum
I,H,Hesperis matronalis,dame's rocket,,Hesperis matronalis
N,G,Hesperostipa comata subsp. comata,needle-and-thread grass,,Stipa comata
N,G,Hesperostipa curtiseta,small porcupinegrass,,
N,G,Hesperostipa spartea,porcupine grass,,Stipa spartea
N,"H,S",Heteranthera dubia,water stargrass,,Zosterella dubia
N,"H,S",Heteranthera limosa,mud plantain,,Heteranthera limosa
N,H,Heterotheca stenophylla var. angustifolia,stiff-leaf golden aster,,"Chrysopsis villosa, Chrysopsis villosa var. angustifolia"
N,H,Heterotheca villosa,hairy golden aster,,Chrysopsis villosa
N,H,Heterotheca villosa var. ballardii,hairy golden aster,,
N,H,Heterotheca villosa var. foliosa,hairy golden aster,,Chrysopsis villosa var. foliosa
N,H,Heterotheca villosa var. minor,hairy golden aster,,
N,H,Heterotheca villosa var. villosa,hairy golden aster,,Chrysopsis villosa var. villosa
N,H,Heuchera richardsonii,alumroot,,Heuchera richardsonii
N,H,Hibiscus laevis,halberd-leaved rose-mallow,,Hibiscus laevis
I,H,Hibiscus trionum,flower-of-an-hour,,Hibiscus trionum
I,H,Hieracium aurantiacum,orange hawkweed,,Hieracium aurantiacum
I,H,Hieracium caespitosum,meadow hawkweed,,Hieracium caespitosum
N,H,Hieracium longipilum,long-bearded hawkweed,,Hieracium longipilum
I,H,Hieracium pilosella,mouse-ear hawkweed,,Hieracium pilosella
I,H,Hieracium piloselloides,king devil hawkweed,,Hieracium piloselloides
N,H,Hieracium scabrum,sticky hawkweed,,Hieracium scabrum
N,H,Hieracium umbellatum,rough hawkweed,,"Hieracium kalmii, Hieracium umbellatum s.s."
I,H,Hieracium vulgatum,common hawkweed,,Hieracium lachenalii
N,H,Hieracium xfloribundum,smooth king-devil,,Hieracium floribundum
N,"H,S",Hippuris vulgaris,mare's tail,,Hippuris vulgaris
N,H,Homalosorus pycnocarpos,narrow-leaved glade fern,,Athyrium pycnocarpon
N,G,Hordeum jubatum subsp. jubatum,foxtail barley,,Hordeum jubatum
N,G,Hordeum pusillum,little barley,,Hordeum pusillum
I,G,Hordeum vulgare subsp. vulgare,common barley,,Hordeum vulgare
N,B,Hudsonia tomentosa,woolly beach-heather,,Hudsonia tomentosa
I,H,Humulus japonicus,Japanese hops,,Humulus japonicus s.l.
N,H,Humulus lupulus,common hops,,Humulus lupulus
N,H,Humulus lupulus var. lupuloides,common hops,Humulus lupuloides,Humulus lupulus var. lupuloides
N,H,Humulus lupulus var. pubescens,common hops,Humulus pubescens,Humulus lupulus var. pubescens
N,H,Huperzia appressa,mountain firmoss,,Lycopodium appressum
N,H,Huperzia lucidula,shining firmoss,,Lycopodium lucidulum
N,H,Huperzia porophila,rock firmoss,,Lycopodium porophilum
N,H,Huperzia selago,northern firmoss,,Lycopodium selago
N,H,Huperzia xbartleyi,Bartley's clubmoss,,
N,H,Huperzia xbuttersii,Butters' fir moss,,Lycopodium xbuttersii
N,H,Huperzia xjosephbeitelii,fir moss,,
N,H,Huperzia xprotoporophila,fir moss,,
N,H,Hybanthus concolor,eastern green-violet,Cubelium concolor,Hybanthus concolor
N,H,Hydrastis canadensis,goldenseal,,Hydrastis canadensis
N,H,Hydrocotyle americana,American water-pennywort,,Hydrocotyle americana
I,H,Hydrocotyle ranunculoides,floating marsh-pennywort,,Hydrocotyle ranunculoides
N,H,Hydrophyllum appendiculatum,appendaged waterleaf,,Hydrophyllum appendiculatum
N,H,Hydrophyllum virginianum var. virginianum,Virginia waterleaf,,Hydrophyllum virginianum var. virginianum
N,H,Hylodesmum glutinosum,pointed-leaved tick trefoil,,Desmodium glutinosum
N,H,Hylodesmum nudiflorum,stemless tick trefoil,,Desmodium nudiflorum
I,H,Hylotelephium telephium,orpine,,Sedum purpureum
N,H,Hypericum ascyron subsp. pyramidatum,great St. John's-wort,,Hypericum pyramidatum
N,H,Hypericum boreale,northern St. John's wort,,Hypericum boreale
N,H,Hypericum ellipticum,pale St. John's wort,,Hypericum ellipticum
U,"D,H",Hypericum kalmianum,Kalm's St. John's wort,,Hypericum kalmianum
N,H,Hypericum majus,large St. John's wort,,Hypericum majus
I,H,Hypericum perforatum subsp. perforatum,common St. John's-wort,,Hypericum perforatum
N,H,Hypericum punctatum,spotted St. John's wort,,Hypericum punctatum
N,H,Hypoxis hirsuta,yellow star-grass,,Hypoxis hirsuta
N,D,Ilex verticillata var. verticillata,winterberry,,Ilex verticillata var. verticillata
I,H,Impatiens balfourii,Balfour's touch-me-not,,
N,H,Impatiens capensis,spotted touch-me-not,,Impatiens capensis
N,H,Impatiens pallida,pale touch-me-not,,Impatiens pallida
